name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
Catania,1971,1971,1,32,0.0,Clay,3,4,Jan Kodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charleston,1988,1989,2,62,0.0,Clay,3,4,Lawson Duncan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte,1970,1993,24,204,97.413,Clay,3,4,Jaime Yzaga,295.0,438.5,9646.5,5983.0,4110.0,1879.0,1502.0,547.5,903.0
Charlotte WCT,1972,1973,2,61,0.0,Clay,3,4,Ken Rosewall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chengdu,2016,2019,4,108,98.676,Hard,3,9,Pablo Carreno Busta,435.5,1270.5,12176.5,7619.0,5715.0,2371.0,1946.5,510.5,823.5
Chennai,1997,2017,21,627,91.616,Hard,3,12,Carlos Moya,2439.5,4618.0,64065.0,37810.5,27193.5,13826.5,10079.5,3177.0,5187.5
Chorpus Christi,1970,1970,1,7,0.0,Hard,3,2,Ken Rosewall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati,1968,1989,22,1270,0.0,Hard,3,8,Jimmy Connors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Masters,1990,2020,31,1761,94.911,Hard,3,8,Roger Federer,7591.5,17626.5,182191.5,107239.0,80430.0,39538.0,28889.0,8395.0,13197.5
Cleveland,1978,1985,8,217,0.0,Hard,3,8,Gene Mayer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland WCT,1972,1972,1,31,0.0,Hard,3,8,Mark Cox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cologne,1978,1992,15,279,99.467,Hard,3,10,Nick Saviano,72.5,132.0,3214.5,1981.5,1324.5,625.5,494.0,183.5,309.5
Cologne 1,2020,2020,1,27,107.185,Hard,3,10,Alexander Zverev,108.5,161.0,2972.0,1812.5,1248.0,589.5,460.5,178.5,291.0
Cologne 2,2020,2020,1,27,102.407,Hard,3,10,Alexander Zverev,122.5,171.5,2883.0,1786.5,1249.5,520.5,438.0,190.5,299.0
Colombus,1978,1980,3,93,0.0,Hard,3,8,Brian Gottfried,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Columbus,1971,1984,14,388,0.0,Hard,3,8,Jimmy Connors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copenhagen,2000,2003,4,124,93.726,Hard,3,2,Andreas Vinciguerra,611.0,988.5,13731.5,7822.0,5651.0,3084.5,2133.5,674.0,1113.5
Coral Springs,1993,1998,6,186,94.016,Clay,3,5,Jason Stoltenberg,756.5,1245.0,19856.0,11851.0,8301.5,4145.0,3065.0,1062.0,1726.0
Cordoba,2019,2021,3,81,109.568,Clay,3,2,Juan Ignacio Londero,347.5,415.5,8981.5,5683.0,3881.5,1679.0,1375.0,536.0,852.5
Costa Do Sauipe,2001,2011,11,337,100.955,Clay,3,2,Nicolas Almagro,1220.5,2033.0,34264.5,20757.0,14501.5,6945.0,5380.5,1822.5,3050.5
Dallas,1983,1983,1,31,0.0,Hard,3,9,Andres Gomez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: ALG vs CIV,1986,1986,1,4,0.0,Clay,5,3,Reda Galou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: KEN vs ZIM,1987,1987,1,4,0.0,Clay,5,3,Byron Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: MAR vs KEN,1986,1986,1,4,0.0,Hard,5,3,Paul Wekesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: MEX vs KOR,1971,1971,1,4,0.0,Clay,5,5,Joaquin Loyo Mayo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: SEN vs ALG,1987,1987,1,4,0.0,Hard,5,3,Yahiya Doumbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: SEN vs NGR,1986,1986,1,4,0.0,Hard,5,3,Nduka Odizor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR QF: ZIM vs LBA,1986,1986,1,4,0.0,Hard,5,3,Orlando Lourenco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR R1: SEN vs MAR,1987,1987,1,4,0.0,Hard,5,1,Yahiya Doumbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR R1: TUN vs NGR,1986,1986,1,4,0.0,Clay,5,1,Nduka Odizor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR SF: ALG vs NGR,1986,1986,1,4,0.0,Clay,5,4,Tony Mmoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR SF: NZL vs KOR,1980,1980,1,2,0.0,Grass,5,2,Onny Parun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR SF: SEN vs EGY,1987,1987,1,4,0.0,Hard,5,4,Yahiya Doumbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR SF: ZIM vs MAR,1986,1986,1,4,0.0,Hard,5,4,Haroon Ismail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AFR SF: ZIM vs NGR,1987,1987,1,4,0.0,Hard,5,4,Byron Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: ARG vs USA,1977,1980,4,8,0.0,Clay,5,3,Guillermo Vilas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: BRA vs CAN,1970,1970,1,4,0.0,Clay,5,7,Mike Belkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: BRA vs ECU,1987,1987,1,4,0.0,Clay,5,10,Luiz Mattar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: BRA vs MEX,1969,1985,17,8,0.0,Clay,5,7,Thomaz Koch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: CAN vs COL,1982,1982,1,3,0.0,Hard,5,3,Rejean Genois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
