name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
Davis Cup EUR SF: ESP vs USA,1972,1972,1,4,0.0,Clay,5,8,Andres Gimeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FIN vs NED,1981,1981,1,4,0.0,Clay,5,7,Louk Sanders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FRA vs BUL,1986,1986,1,4,0.0,Hard,5,7,Guy Forget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FRA vs ESP,1970,1970,1,4,0.0,Clay,5,6,Manuel Santana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FRA vs GBR,1978,1978,1,4,0.0,Clay,5,7,Buster C Mottram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FRA vs ITA,1975,1975,1,4,0.0,Clay,5,6,Francois Jauffret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FRA vs TCH,1979,1979,1,4,0.0,Clay,5,7,Ivan Lendl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: FRG vs TCH,1968,1974,7,12,0.0,Clay,5,6,Jan Kodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: GBR vs BRA,1969,1969,1,4,0.0,Grass,5,7,Graham Stilwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: GBR vs ESP,1979,1979,1,4,0.0,Grass,5,7,Buster C Mottram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: GBR vs FRA,1976,1976,1,4,0.0,Grass,5,7,Roger Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: GBR vs FRG,1969,1969,1,4,0.0,Grass,5,6,Mark Cox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: GBR vs ROU,1980,1980,1,4,0.0,Grass,5,6,Ilie Nastase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: GBR vs SUI,1985,1985,1,2,0.0,Grass,5,8,John Lloyd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: HUN vs ISR,1982,1982,1,4,0.0,Clay,5,7,Balazs Taroczy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: HUN vs SUI,1986,1986,1,4,0.0,Clay,5,7,Balazs Taroczy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: HUN vs TCH,1976,1976,1,3,0.0,Clay,5,7,Balazs Taroczy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: IND vs PAK,1973,1973,1,3,0.0,Grass,5,4,Vijay Amritraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: IRL vs FIN,1982,1982,1,4,0.0,Hard,5,7,Matt Doyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ISR vs FRG,1983,1983,1,4,0.0,Hard,5,7,Michael Westphal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ISR vs HUN,1981,1981,1,4,0.0,Hard,5,7,Shlomo Glickstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ISR vs SUI,1984,1984,1,4,0.0,Hard,5,7,Shlomo Glickstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs ESP,1973,1973,1,4,0.0,Clay,5,7,Corrado Barazzutti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs FRA,1977,1977,1,4,0.0,Clay,5,9,Adriano Panatta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs HUN,1979,1979,1,4,0.0,Clay,5,7,Corrado Barazzutti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs SUI,1980,1980,1,4,0.0,Clay,5,6,Corrado Barazzutti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs SWE,1976,1976,1,3,0.0,Clay,5,7,Adriano Panatta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs TCH,1979,1979,1,4,0.0,Clay,5,10,Adriano Panatta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ITA vs URS,1968,1968,1,4,0.0,Clay,5,6,Alex Metreveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: JPN vs THA,1982,1982,1,4,0.0,Clay,5,3,Tsuyoshi Fukui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: MEX vs COL,1973,1978,6,8,0.0,Clay,5,12,Raul Ramirez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: MON vs DEN,1985,1985,1,4,0.0,Clay,5,8,Peter Bastiansen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: NED vs ISR,1986,1986,1,4,0.0,Clay,5,7,Shlomo Glickstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: NZL vs CHN,1985,1985,1,2,0.0,Hard,5,5,Russell Simpson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: NZL vs IND,1976,1976,1,4,0.0,Grass,5,1,Vijay Amritraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: NZL vs JPN,1979,1979,1,2,0.0,Grass,5,2,Russell Simpson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: PAK vs THA,1984,1984,1,4,0.0,Clay,5,5,Islam Ul Haq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: POR vs AUT,1987,1987,1,4,0.0,Clay,5,7,Thomas Muster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs EGY,1985,1985,1,4,0.0,Clay,5,8,Florin Segarceanu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs FRA,1974,1974,1,4,0.0,Clay,5,7,Francois Jauffret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs GBR,1977,1977,1,4,0.0,Clay,5,6,Dimitru Haradau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs ITA,1972,1972,1,4,0.0,Clay,5,6,Ilie Nastase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs NZL,1973,1973,1,4,0.0,Clay,5,7,Ilie Nastase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs SWE,1979,1979,1,4,0.0,Clay,5,7,Bjorn Borg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: ROU vs YUG,1971,1971,1,4,0.0,Clay,5,6,Ilie Nastase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: SUI vs NED,1983,1983,1,3,0.0,Clay,5,7,Roland Stadler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: SWE vs CHI,1975,1975,1,2,0.0,Clay,5,9,Bjorn Borg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: SWE vs ESP,1978,1978,1,4,0.0,Clay,5,7,Bjorn Borg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: SWE vs FRG,1980,1980,1,4,0.0,Clay,5,6,Bjorn Borg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: SWE vs ITA,1974,1977,4,8,0.0,Clay,5,7,Adriano Panatta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: TCH vs AUS,1975,1975,1,3,0.0,Clay,5,9,Jan Kodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: TCH vs FRA,1980,1980,1,4,0.0,Clay,5,6,Tomas Smid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: TCH vs FRG,1973,1973,1,4,0.0,Clay,5,7,Jan Kodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: TCH vs HUN,1975,1975,1,4,0.0,Clay,5,7,Jan Kodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: TCH vs ROU,1978,1978,1,4,0.0,Clay,5,7,Pavel Slozil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: TCH vs URS,1971,1971,1,4,0.0,Clay,5,6,Frantisek Pala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: THA vs NZL,1987,1987,1,4,0.0,Hard,5,7,Bruce Derlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: URS vs AUT,1984,1984,1,4,0.0,Clay,5,7,Peter Feigl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: URS vs SWE,1975,1975,1,4,0.0,Clay,5,7,Bjorn Borg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: URS vs TCH,1970,1970,1,4,0.0,Clay,5,6,Alex Metreveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: USA vs ESP,1968,1968,1,4,0.0,Hard,5,8,Arthur Ashe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup EUR SF: YUG vs ROU,1970,1970,1,4,0.0,Clay,5,6,Zeljko Franulovic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup Finals F: CAN vs ESP,2019,2019,1,2,112.0,Hard,3,11,Roberto Bautista Agut,5.5,12.0,214.0,142.5,113.0,39.5,32.0,8.0,10.5
Davis Cup Finals QF: ARG vs ESP,2019,2019,1,2,109.5,Hard,3,11,Guido Pella,2.5,19.5,219.0,140.5,111.0,37.0,35.0,7.0,13.0
Davis Cup Finals QF: AUS vs CAN,2019,2019,1,2,102.0,Hard,3,11,Vasek Pospisil,8.0,24.5,225.0,154.0,124.0,34.5,39.0,7.0,11.0
Davis Cup Finals QF: GBR vs GER,2019,2019,1,2,111.5,Hard,3,11,Kyle Edmund,0.0,32.0,249.0,155.5,113.5,58.5,41.0,8.0,14.0
Davis Cup Finals QF: SRB vs RUS,2019,2019,1,2,63.0,Hard,3,11,Andrey Rublev,1.0,27.0,147.0,101.0,76.0,22.5,25.0,6.5,10.0
Davis Cup Finals RR: ARG vs CHI,2019,2019,1,2,74.0,Hard,3,11,Guido Pella,8.0,14.0,155.0,105.0,75.5,22.0,26.5,3.0,10.5
Davis Cup Finals RR: ARG vs GER,2019,2019,1,2,112.0,Hard,3,11,Philipp Kohlschreiber,5.5,19.0,242.0,160.0,118.5,37.0,35.5,10.0,15.0
Davis Cup Finals RR: AUS vs COL,2019,2019,1,2,77.5,Hard,3,11,Nick Kyrgios,2.5,26.5,173.5,125.5,93.5,25.5,29.5,11.5,15.5
Davis Cup Finals RR: BEL vs AUS,2019,2019,1,2,90.0,Hard,3,11,Nick Kyrgios,9.5,28.5,190.5,124.5,105.0,29.5,28.5,6.0,10.0
Davis Cup Finals RR: BEL vs COL,2019,2019,1,2,92.0,Hard,3,11,Steve Darcis,5.5,12.5,204.5,126.0,91.0,35.0,33.5,5.5,12.5
Davis Cup Finals RR: CRO vs ESP,2019,2019,1,2,71.0,Hard,3,11,Roberto Bautista Agut,3.5,14.5,144.5,95.5,73.5,28.5,26.5,5.0,8.5
Davis Cup Finals RR: CRO vs RUS,2019,2019,1,2,107.0,Hard,3,11,Andrey Rublev,8.5,15.0,225.5,137.5,108.5,47.5,37.5,9.0,13.0
Davis Cup Finals RR: ESP vs RUS,2019,2019,1,2,143.0,Hard,3,11,Andrey Rublev,10.0,33.0,273.0,176.5,127.0,47.5,38.5,14.5,19.5
Davis Cup Finals RR: FRA vs JPN,2019,2019,1,2,62.0,Hard,3,11,Jo-Wilfried Tsonga,2.5,9.5,144.0,98.5,71.5,25.5,26.5,3.5,8.5
Davis Cup Finals RR: FRA vs SRB,2019,2019,1,2,87.5,Hard,3,11,Filip Krajinovic,7.5,20.0,195.5,128.5,101.5,37.0,31.5,9.0,11.0
Davis Cup Finals RR: GBR vs KAZ,2019,2019,1,2,103.5,Hard,3,11,Kyle Edmund,14.0,22.0,218.0,130.0,95.0,45.0,35.5,13.0,19.0
Davis Cup Finals RR: GBR vs NED,2019,2019,1,2,155.5,Hard,3,11,Andy Murray,6.5,41.5,335.5,206.0,155.0,68.5,49.0,12.5,19.0
Davis Cup Finals RR: GER vs CHI,2019,2019,1,2,114.5,Hard,3,11,Philipp Kohlschreiber,4.5,27.0,270.0,174.0,136.5,60.0,41.5,7.5,11.5
Davis Cup Finals RR: ITA vs CAN,2019,2019,1,2,140.0,Hard,3,11,Vasek Pospisil,19.5,31.0,302.0,178.5,145.5,65.0,45.0,12.0,14.0
Davis Cup Finals RR: KAZ vs NED,2019,2019,1,2,98.0,Hard,3,11,Mikhail Kukushkin,8.0,23.0,210.5,130.0,104.5,47.0,37.0,4.0,7.5
Davis Cup Finals RR: SRB vs JPN,2019,2019,1,2,67.5,Hard,3,11,Filip Krajinovic,1.0,11.5,155.0,100.0,70.5,27.5,25.0,7.0,12.0
Davis Cup Finals RR: USA vs CAN,2019,2019,1,2,94.5,Hard,3,11,Vasek Pospisil,8.5,32.0,231.0,147.0,119.0,45.5,34.0,8.0,10.0
Davis Cup Finals RR: USA vs ITA,2019,2019,1,2,125.0,Hard,3,11,Fabio Fognini,10.5,45.0,281.5,184.0,146.0,59.0,47.5,7.0,10.0
Davis Cup Finals SF: GBR vs ESP,2019,2019,1,2,83.0,Hard,3,11,Kyle Edmund,2.5,24.0,171.0,115.0,85.0,34.0,28.0,5.0,7.5
Davis Cup Finals SF: RUS vs CAN,2019,2019,1,2,97.5,Hard,3,11,Andrey Rublev,11.5,24.5,235.0,153.5,118.5,33.5,37.5,13.0,19.0
Davis Cup G1 F: ARG vs USA,1988,1988,1,4,0.0,Clay,5,7,Andre Agassi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 F: AUT vs GBR,1988,1988,1,4,0.0,Clay,5,7,Thomas Muster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 F: INA vs IND,1981,1981,1,4,0.0,Clay,5,3,Sashi Menon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 F: INA vs JPN,1982,1982,1,4,0.0,Clay,5,5,Tintus Arianto Wibowo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 F: INA vs KOR,1988,1988,1,4,0.0,Clay,5,7,Bong Soo Kim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 F: URS vs NED,1988,1988,1,4,0.0,Clay,5,7,Andrei Cherkasov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 F: USA vs CHI,1973,1973,1,2,0.0,Hard,5,8,Stan Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ARG vs ECU,1997,1997,1,3,0.0,Clay,5,7,Nicolas Lapentti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ARG vs VEN,1997,1997,1,4,0.0,Clay,5,9,Lucas Arnold Ker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: AUT vs DEN,1998,1998,1,4,0.0,Clay,5,9,Markus Hipfl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: AUT vs UKR,2001,2001,1,4,0.0,Hard,5,9,Stefan Koubek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BAH vs CAN,1999,1999,1,4,0.0,Hard,5,7,Simon Larose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BAH vs COL,2000,2000,1,4,0.0,Hard,5,7,Mark Merklein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BAH vs MEX,2002,2002,1,4,0.0,Hard,5,9,Miguel Gallardo Valles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BAH vs VEN,1997,1997,1,4,0.0,Hard,5,7,Roger Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BAR vs ECU,2015,2015,1,4,0.0,Hard,5,9,Darian King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BAR vs URU,2015,2015,1,4,0.0,Hard,5,10,Darian King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BLR vs GEO,2008,2008,1,3,0.0,Hard,5,9,Uladzimir Ignatik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BLR vs MKD,2009,2009,1,4,0.0,Hard,5,7,Uladzimir Ignatik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BLR vs NED,2010,2010,1,4,0.0,Hard,5,7,Thiemo De Bakker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BLR vs POL,2008,2008,1,4,0.0,Hard,5,7,Michal Przysiezny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BLR vs SVK,2010,2010,1,4,0.0,Hard,5,9,Lukas Lacko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BRA vs CHI,1990,1990,1,4,0.0,Hard,5,3,Fernando Roese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BRA vs PER,2004,2004,1,4,0.0,Clay,5,9,Luis Horna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: BUL vs ROU,1988,1988,1,4,0.0,Clay,5,6,Adrian Marcu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CAN vs ARG,2000,2000,1,4,0.0,Hard,5,7,Daniel Nestor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CAN vs DOM,2010,2010,1,4,0.0,Hard,5,9,Peter Polansky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CAN vs VEN,2006,2006,1,4,0.0,Hard,5,7,Frank Dancevic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHI vs CAN,1993,1993,1,3,0.0,Clay,5,3,Sergio Cortes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHI vs PER,1996,1996,1,4,0.0,Clay,5,9,Marcelo Rios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHI vs URU,1995,1995,1,4,0.0,Clay,5,3,Gabriel Silberstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHN vs INA,1998,2005,8,8,0.0,Hard,5,9,Yu Zhang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHN vs PAK,1990,2006,17,10,0.0,Hard,5,2,Bing Pan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHN vs THA,2000,2009,10,8,0.0,Hard,5,9,Shao Xuan Zeng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: CHN vs TPE,2013,2013,1,4,0.0,Hard,5,4,Di Wu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: COL vs ARG,2000,2000,1,4,0.0,Clay,5,10,Franco Squillari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: COL vs MEX,1998,1998,1,4,0.0,Clay,5,9,Mauricio Hadad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: DEN vs ESP,2015,2015,1,4,0.0,Hard,5,9,David Ferrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: DOM vs CHI,2013,2013,1,4,0.0,Hard,5,9,Jose Hernandez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ECU vs BAH,2002,2002,1,4,0.0,Clay,5,7,Johny De Leon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ECU vs MEX,2011,2011,1,4,0.0,Clay,5,9,Julio Cesar Campozano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ECU vs PER,2004,2004,1,4,0.0,Hard,5,7,Carlos Avellan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: FIN vs POL,2011,2011,1,4,0.0,Hard,5,9,Henri Kontinen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: GBR vs ISR,2006,2006,1,4,0.0,Grass,5,7,Noam Okun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: GBR vs POL,2009,2009,1,4,0.0,Hard,5,9,Andy Murray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: GBR vs ROU,1994,1994,1,4,0.0,Grass,5,7,Razvan Sabau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: GHA vs IRL,1990,1990,1,4,0.0,Hard,5,5,Peter Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: HKG vs TPE,1995,1995,1,4,0.0,Hard,5,9,Chia Yen Tsai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: HUN vs BEL,1988,1988,1,4,0.0,Clay,5,6,Andras Lanyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: HUN vs MAR,1991,1991,1,4,0.0,Clay,5,5,Sandor Noszaly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: HUN vs UKR,1997,1997,1,4,0.0,Clay,5,9,Andrei Medvedev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: INA vs CHN,1996,2001,6,8,0.0,Clay,5,4,Bing Pan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: INA vs KOR,2003,2003,1,4,0.0,Hard,5,4,Hee Seok Chung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: INA vs LIB,2002,2002,1,4,0.0,Hard,5,4,Suwandi Suwandi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: INA vs NZL,2004,2004,1,4,0.0,Hard,5,4,Febi Widhiyanto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: INA vs TPE,1995,1995,1,4,0.0,Clay,5,3,Suwandi Suwandi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: IND vs CHN,1999,1999,1,4,0.0,Grass,5,4,Leander Paes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: IND vs INA,2013,2013,1,4,0.0,Hard,5,4,Somdev Devvarman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: IND vs NZL,2012,2012,1,4,0.0,Hard,5,9,Yuki Bhambri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: IND vs PAK,2006,2006,1,4,0.0,Grass,5,4,Aisam Ul Haq Qureshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ISR vs FIN,2004,2004,1,4,0.0,Hard,5,9,Noam Okun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ISR vs GRE,2002,2002,1,4,0.0,Hard,5,9,Harel Levy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ISR vs SLO,1995,2015,21,8,0.0,Hard,5,9,Eyal Erlich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ISR vs ZIM,2003,2003,1,4,0.0,Hard,5,7,Noam Okun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ITA vs LAT,2008,2008,1,4,0.0,Clay,5,9,Ernests Gulbis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: ITA vs LUX,2007,2007,1,4,0.0,Hard,5,7,Potito Starace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: JPN vs CHN,1992,1992,1,4,0.0,Hard,5,3,Shuzo Matsuoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: JPN vs HKG,1995,1995,1,4,0.0,Hard,5,3,Takao Suzuki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: KAZ vs CHN,2007,2007,1,4,0.0,Hard,5,9,Alexey Kedryuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: KAZ vs IND,2007,2007,1,4,0.0,Hard,5,4,Alexey Kedryuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G1 PO: KAZ vs PHI,2008,2008,1,4,0.0,Clay,5,9,Yuri Schukin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
